211,2016-11-23,0,1,1
212,2016-11-23,0,0,0
213,2016-11-23,134,125,134
214,2016-11-23,23,23,28
215,2016-11-23,283,106,126
216,2016-11-23,53,44,47
217,2016-11-23,0,0,0
218,2016-11-23,940,299,311
219,2016-11-23,5,7,7
220,2016-11-23,471,270,297
221,2016-11-23,13,23,25
222,2016-11-23,17,39,41
223,2016-11-23,3,5,5
224,2016-11-23,0,0,0
225,2016-11-23,11,14,14
226,2016-11-23,108,66,71
227,2016-11-23,998,268,286
228,2016-11-23,24,34,38
229,2016-11-23,804,449,475
232,2016-11-23,0,1,1
233,2016-11-23,827,232,237
234,2016-11-23,0,0,0
235,2016-11-23,3723,1677,1889
236,2016-11-23,90,86,97
237,2016-11-23,3,11,12
238,2016-11-23,716,352,375
239,2016-11-23,14,18,21
240,2016-11-23,29,49,53
241,2016-11-23,5,10,11
242,2016-11-23,3,11,12
243,2016-11-23,0,0,0
245,2016-11-23,138,97,106
246,2016-11-23,0,0,0
247,2016-11-23,171,39,39
248,2016-11-23,597,197,210
249,2016-11-23,11,20,21
250,2016-11-23,286,159,170
251,2016-11-23,240,49,53
252,2016-11-23,17,17,18
253,2016-11-23,62,35,36
254,2016-11-23,0,2,2
257,2016-11-23,61,52,58
258,2016-11-23,3936,1406,1606
259,2016-11-23,0,0,0
260,2016-11-23,0,3,3
261,2016-11-23,3,6,6
262,2016-11-23,0,0,0
263,2016-11-23,105,135,145
264,2016-11-23,0,9,9
265,2016-11-23,89,74,86
266,2016-11-23,182,131,138
267,2016-11-23,12,26,27
268,2016-11-23,114,56,61
269,2016-11-23,11117,4231,4746
270,2016-11-23,110,75,75
271,2016-11-23,2,2,2
273,2016-11-23,2952,906,992
274,2016-11-23,0,0,0
275,2016-11-23,0,0,0
277,2016-11-23,20,22,24
278,2016-11-23,16,48,49
279,2016-11-23,2,2,2
280,2016-11-23,743,465,475
281,2016-11-23,0,0,0
282,2016-11-23,0,7,7
283,2016-11-23,3,12,13
284,2016-11-23,35,28,29
285,2016-11-23,480,207,221
286,2016-11-23,0,5,5
288,2016-11-23,0,0,0
289,2016-11-23,0,3,3
291,2016-11-23,0,0,0
292,2016-11-23,1284,599,627
293,2016-11-23,0,0,0
294,2016-11-23,14,2,3
295,2016-11-23,121,53,57
297,2016-11-23,12194,2127,2273
298,2016-11-23,0,0,0
299,2016-11-23,0,2,2
300,2016-11-23,0,0,0
301,2016-11-23,0,0,0
302,2016-11-23,0,1,1
304,2016-11-23,0,0,0
305,2016-11-23,1121,229,246
306,2016-11-23,65,60,66
307,2016-11-23,263,139,145
308,2016-11-23,0,0,0
309,2016-11-23,0,0,0
310,2016-11-23,0,1,1
311,2016-11-23,378,106,110
314,2016-11-23,225,98,99
315,2016-11-23,0,3,3
316,2016-11-23,0,0,0
317,2016-11-23,67,38,38
318,2016-11-23,11,15,17
319,2016-11-23,0,0,0
320,2016-11-23,225,51,55
322,2016-11-23,0,0,0
323,2016-11-23,0,0,0
324,2016-11-23,740,308,320
337,2016-11-23,26,29,28
338,2016-11-23,18,12,14
339,2016-11-23,4,6,6
341,2016-11-23,0,0,0
343,2016-11-23,0,2,2
344,2016-11-23,58,50,54
345,2016-11-23,2844,813,906
348,2016-11-23,938,418,442
349,2016-11-23,9,16,16
351,2016-11-23,0,2,2
352,2016-11-23,0,6,6
353,2016-11-23,216,136,140
354,2016-11-23,14,24,24
355,2016-11-23,899,219,226
357,2016-11-23,0,0,0
358,2016-11-23,128,129,135
359,2016-11-23,0,0,0
360,2016-11-23,0,0,0
361,2016-11-23,329,126,129
362,2016-11-23,1691,602,641
363,2016-11-23,33,34,35
364,2016-11-23,0,3,4
365,2016-11-23,164,94,98
366,2016-11-23,11823,3306,3785
367,2016-11-23,51,52,63
368,2016-11-23,71,58,60
370,2016-11-23,0,1,1
371,2016-11-23,0,0,0
